HH_ID,Region,HHsize,HHincome,Car_own,NofTrips,Walk_share,Auto_share,Transit_share,Taxi_share,Bike_share,Other_share
34900,B,3,4,1,4,0.00,0.50,0.00,0.50,0.00,0.00
34941,B,2,4,1,11,0.45,0.18,0.36,0.00,0.00,0.00
34976,B,4,4,1,20,0.85,0.00,0.15,0.00,0.00,0.00
35122,B,4,4,1,22,0.55,0.27,0.18,0.00,0.00,0.00
35217,A,2,2,1,10,0.60,0.20,0.20,0.00,0.00,0.00
35232,A,4,5,1,20,0.80,0.10,0.10,0.00,0.00,0.00
35276,B,1,1,2,8,0.50,0.00,0.50,0.00,0.00,0.00
35444,B,1,1,2,11,0.64,0.00,0.36,0.00,0.00,0.00
35519,B,2,4,1,8,0.50,0.25,0.25,0.00,0.00,0.00
35524,B,3,4,2,26,0.50,0.00,0.50,0.00,0.00,0.00
35546,B,1,3,2,2,1.00,0.00,0.00,0.00,0.00,0.00
35555,B,3,3,1,4,0.50,0.50,0.00,0.00,0.00,0.00
35600,B,2,2,2,8,0.25,0.00,0.50,0.00,0.25,0.00
35610,B,1,3,2,6,0.67,0.00,0.33,0.00,0.00,0.00
35626,B,1,3,1,2,1.00,0.00,0.00,0.00,0.00,0.00
35692,B,4,5,1,34,0.59,0.03,0.38,0.00,0.00,0.00
35748,B,4,4,1,10,0.50,0.30,0.20,0.00,0.00,0.00
35825,A,4,4,1,20,0.40,0.20,0.30,0.10,0.00,0.00
35856,B,4,4,1,27,0.52,0.07,0.41,0.00,0.00,0.00
35884,B,2,4,2,20,0.45,0.00,0.45,0.10,0.00,0.00
35917,B,1,3,2,11,0.64,0.00,0.36,0.00,0.00,0.00
35969,A,4,4,1,16,0.31,0.13,0.38,0.00,0.19,0.00
36005,B,4,5,1,27,0.41,0.15,0.44,0.00,0.00,0.00
36056,A,4,4,1,17,0.47,0.12,0.24,0.00,0.18,0.00
36092,B,3,4,1,7,0.71,0.29,0.00,0.00,0.00,0.00
36098,A,2,3,1,6,0.33,0.67,0.00,0.00,0.00,0.00
36164,A,1,3,1,2,0.00,1.00,0.00,0.00,0.00,0.00
36225,B,3,4,1,16,0.50,0.00,0.50,0.00,0.00,0.00
36249,B,2,3,2,12,0.50,0.00,0.33,0.00,0.17,0.00
